Niveau_0;Niveau_1;Niveau_2;Niveau_3;Niveau_4;Niveau_5;Niveau_6;Niveau_7;Niveau_8;Niveau_9;"Identifiant";"Type";"Microthésaurus";"Statut";"Définition";"Note d'application";"Synonymes";"Relatifs";"Fiches associées";
;;;;;"Ghata";;;;;"DESC147114";"NT";"";"Standard";"";"";"Ghatam";"";"-1";
;;;"Woodblock";;;;;;;"DESC949184";"NT";"";"Standard";"";"";"Wood block";"";"-1";
;;;"Xylophones";;;;;;;"DESC942759";"NT";"";"Standard";"";"";"Xylophones (famille des)";"";"-1";
;;;;"Balafon";;;;;;"DESC145538";"NT";"";"Standard";"";"";"bala;Balafo;Balafou";"";"-1";
;;;;"Balo";;;;;;"DESC881659";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Calon";;;;;;"DESC949950";"NT";"";"Standard";"";"";"Tjalong";"";"-1";
;;;;"Claquebois";;;;;;"DESC145539";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Gambang";;;;;;"DESC144895";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Gamolan";;;;;;"DESC1142214";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Gyilli";;;;;;"DESC145540";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Kilangay";;;;;;"DESC145542";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Madimba";;;;;;"DESC139452";"NT";"";"Standard";"";"";"Madinda";"";"-1";
;;;;"Marimba";;;;;;"DESC144915";"NT";"";"Standard";"";"";"xylorimba";"";"-1";
;;;;"Mbila";;;;;;"DESC145544";"NT";"";"Standard";"";"";"Timbila";"";"-1";
;;;;"Mendzan";;;;;;"DESC145545";"NT";"";"Standard";"";"";"Medzang;Mendjan;Mendzang;Menjyang";"";"-1";
;;;;"Mokkin";;;;;;"DESC145546";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Ranat";;;;;;"DESC139467";"NT";"";"Standard";"";"";"Roneat";"";"-1";
;;;;"Valimba";;;;;;"DESC145547";"NT";"";"Standard";"";"";"Bachi;Madudu;Mambira;Ngambi;Ulimba;Varimba";"";"-1";
;;;;"Xylophone";;;;;;"DESC145536";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Zanga";;;;;;"DESC137060";"NT";"";"Standard";"";"";"";"";"-1";
;;"Idiophone frotté";;;;;;;;"DESC145449";"NT";"";"Standard";"";"";"Friction idiophone";"";"-1";
;;;"Bols musicaux";;;;;;;"DESC1156154";"NT";"";"Standard";"";"";"Bols musicaux (famille des);Musicals bowls";"";"-1";
;;;;"Bol musical";;;;;;"DESC144909";"NT";"";"Standard";"";"";"Coupelle sonore;Musical bowl";"";"-1";
;;;"Ch'uk";;;;;;;"DESC144911";"NT";"";"Standard";"";"";"Chuc";"";"-1";
;;;"Cristal Baschet";;;;;;;"DESC145450";"NT";"";"Standard";"";"";"Crystal Baschet";"";"-1";
;;;"Glace-chord";;;;;;;"DESC141238";"NT";"";"Standard";"";"";"Glacechord;Glasschord";"";"-1";
;;;"Harmonicas de verre";;;;;;;"DESC1156163";"NT";"";"Standard";"";"";"Harmonicas de verre (famille des)";"";"-1";
;;;;"Harmonica de verre";;;;;;"DESC145451";"NT";"";"Standard";"";"";"Armonica de verre;Glasharmonica;Glass armonica;Glass harmonica;Glassharmonica;Musical glasses";"";"-1";
;;;"Machine à vent";;;;;;;"DESC1144427";"NT";"";"Standard";"";"";"Aeoliphone;Wind machine";"";"-1";
;;;"Mattauphone";;;;;;;"DESC145453";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Scies musicales";;;;;;;"DESC1156191";"NT";"";"Standard";"";"";"Scies musicales (famille des)";"";"-1";
;;;;"Scie musicale";;;;;;"DESC145454";"NT";"";"Standard";"";"";"Lame sonore;Saw musical";"";"-1";
;;;"Structures sonores";;;;;;;"DESC1156193";"NT";"";"Standard";"";"";"Structures sonores (famille des)";"";"-1";
;;;;"Structure sonore";;;;;;"DESC145455";"NT";"";"Standard";"";"";"Art sonore;Sound structure";"";"-1";
;;;"Violons de fer";;;;;;;"DESC1156181";"NT";"";"Standard";"";"";"Violons de fer (famille des)";"";"-1";
;;;;"Violon de fer";;;;;;"DESC145456";"NT";"";"Standard";"";"";"Nail violin";"";"-1";
;;"Idiophone pilonnant";;;;;;;;"DESC144886";"NT";"";"Standard";"";"";"";"";"-1";
;;"Idiophone pincé";;;;;;;;"DESC144887";"NT";"";"Standard";"";"";"Plucked idiophone";"";"-1";
;;;"Guimbardes";;;;;;;"DESC942807";"NT";"";"Standard";"";"";"Guimbardes (famille des);Jew's harps";"";"-1";
;;;;"Genggong";;;;;;"DESC145443";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Guimbarde";;;;;;"DESC145438";"NT";"";"Standard";"";"";"Jew's harp";"";"-1";
;;;;"Karinding";;;;;;"DESC949220";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Murcang";;;;;;"DESC145444";"NT";"";"Standard";"";"";"Morcang;Morchang;Morsing;Murchang";"";"-1";
;;;"Lamellaphones";;;;;;;"DESC942802";"NT";"";"Standard";"";"";"Lamellaphones / Sanzas (famille des);Lamellophones;Sanzas";"";"-1";
;;;;"Dikembe";;;;;;"DESC139412";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Kadimba";;;;;;"DESC139420";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Kalimba";;;;;;"DESC145439";"NT";"";"Standard";"";"";"Karimba";"";"-1";
;;;;"Kankobela";;;;;;"DESC138631";"NT";"";"Standard";"";"";"Kankobele";"";"-1";
;;;;"Kisaanj";;;;;;"DESC139415";"NT";"";"Standard";"";"";"Kisanzi";"";"-1";
;;;;"Kyanya";;;;;;"DESC139419";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Lamellaphone";;;;;;"DESC145437";"NT";"";"Standard";"";"";"Lamellophone;Languettophone;Sanza";"";"-1";
;;;;"Likembe";;;;;;"DESC139445";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Marimbula";;;;;;"DESC140350";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Mbira";;;;;;"DESC144266";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Sanza";;;;;;"DESC143886";"NT";"";"Standard";"";"";"Sandza;Sansa";"";"-1";
;;;;"Tyitanzi";;;;;;"DESC143885";"NT";"";"Standard";"";"";"";"";"-1";
;;"Idiophone râclé";;;;;;;;"DESC145422";"NT";"";"Standard";"";"";"Scraped idiophone";"";"-1";
;;;"Crécelles";;;;;;;"DESC942763";"NT";"";"Standard";"";"";"Crécelles (famille des);Ratchets";"";"-1";
;;;;"Crécelle";;;;;;"DESC145423";"NT";"";"Standard";"";"";"Ratchet";"";"-1";
;;;"Râcloirs";;;;;;;"DESC942764";"NT";"";"Standard";"";"";"Râcles;Râcles (famille des);Scrapers";"";"-1";
;;;;"Dikwakasa";;;;;;"DESC139423";"NT";"";"Standard";"";"";"Dikwasa";"";"-1";
;;;;"Guiro";;;;;;"DESC139352";"NT";"";"Standard";"";"";"Guayo";"";"-1";
;;;;"Pandola";;;;;;"DESC145429";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Râcloir";;;;;;"DESC942767";"NT";"";"Standard";"";"";"Scraper";"";"-1";
;;;;"Washboard";;;;;;"DESC145425";"NT";"";"Standard";"";"";"";"";"-1";
;;"Idiophone secoué";;;;;;;;"DESC145374";"NT";"";"Standard";"";"";"Shaken idiophone";"";"-1";
;;;"Cloches";;;;;;;"DESC942447";"NT";"";"Standard";"";"";"Bells;Cloches (famille des)";"";"-1";
;;;;"Agogo";;;;;;"DESC144963";"NT";"";"Standard";"";"";"Ogege;Ugege";"";"-1";
;;;;"Banka";;;;;;"DESC141671";"NT";"";"Standard";"";"";"Ekon;Ekong";"";"-1";
;;;;"Bianzhong";;;;;;"DESC144964";"NT";"";"Standard";"";"";"Pien-chung";"";"-1";
;;;;"Carillon";;;;;;"DESC144965";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Cencerro";;;;;;"DESC137218";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Cloche";;;;;;"DESC144912";"NT";"";"Standard";"";"";"Art campanaire;Bell;Campanologie";"";"-1";
;;;;"Cloche tubulaire";;;;;;"DESC144966";"NT";"";"Standard";"";"";"Tubular bell";"";"-1";
;;;;"Clochette";;;;;;"DESC144967";"NT";"";"Standard";"";"";"Handbell;Sonnette";"";"-1";
;;;;"Dotaku";;;;;;"DESC144968";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Dril-bu";;;;;;"DESC145415";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Ekiro";;;;;;"DESC144969";"NT";"";"Standard";"";"";"Ekirei";"";"-1";
;;;;"Ghanta";;;;;;"DESC144970";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Hansho";;;;;;"DESC144971";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Kin";;;;;;"DESC144972";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Lawle";;;;;;"DESC144973";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Nzunzun";;;;;;"DESC949949";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"P'yonjong";;;;;;"DESC144974";"NT";"";"Standard";"";"";"Pyonjong";"";"-1";
;;;;"Sbub-chal";;;;;;"DESC145416";"NT";"";"Standard";"";"";"Sbug-chal;Sbug-chol";"";"-1";
;;;;"Sonnaille";;;;;;"DESC144976";"NT";"";"Standard";"";"";"Cow bell;Cow bells;Cowbell;Cowbells;Sonnailles";"";"-1";
;;;;"Talempong";;;;;;"DESC144983";"NT";"";"Standard";"";"";"Calembong;Talempoang";"";"-1";
;;;;"T'ukchong";;;;;;"DESC144975";"NT";"";"Standard";"";"";"Tukjong";"";"-1";
;;;"Grelots";;;;;;;"DESC942446";"NT";"";"Standard";"";"";"Grelots (famille des);Jingles";"";"-1";
;;;;"Chapeau chinois";;;;;;"DESC145380";"NT";"";"Standard";"";"";"Bell tree;Jingling Johnnie;Schellenbaum;Turkish crescent";"";"-1";
;;;;"Chimta";;;;;;"DESC893448";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Ghungru";;;;;;"DESC145381";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Grelot";;;;;;"DESC145382";"NT";"";"Standard";"";"";"Jingle;Jingles";"";"-1";
;;;;"Nupur";;;;;;"DESC145383";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Hochets";;;;;;;"DESC942448";"NT";"";"Standard";"";"";"Hochets (famille des);Rattles";"";"-1";
;;;;"Angklung";;;;;;"DESC145375";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Hochet";;;;;;"DESC145405";"NT";"";"Standard";"";"";"Rattle";"";"-1";
;;;;"Kauaha";;;;;;"DESC141745";"NT";"";"Standard";"";"";"Quijada";"";"-1";
;;;;"Kayambi";;;;;;"DESC145376";"NT";"";"Standard";"";"";"Caiambe;Kaiamb;Kayambe;Kayann";"";"-1";
;;;;"Maracas";;;;;;"DESC145377";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Maruga";;;;;;"DESC141673";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Muswai";;;;;;"DESC139427";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Sekere";;;;;;"DESC145406";"NT";"";"Standard";"";"";"Chekere;Shekere";"";"-1";
;;;;"Sistre";;;;;;"DESC145407";"NT";"";"Standard";"";"";"Sistrum";"";"-1";
;;;;"Sonaja";;;;;;"DESC949212";"NT";"";"Standard";"";"";"Quiaquia";"";"-1";
;"Instrument à clavier";;;;;;;;;"DESC148274";"NT";"";"Standard";"";"";"Clavier;Keyboard instrument";"";"-1";
;;"Autres instruments à clavier";;;;;;;;"DESC942429";"NT";"";"Standard";"";"";"Other keyboards";"";"-1";
;;;"Archiquier";;;;;;;"DESC142207";"NT";"";"Standard";"";"";"Chekker;Echiquier;Eschaquer;Eschaquier;Eschiquier;Scacarum;Scacatorum;Scaquer;Schachtbrett";"";"-1";
;;;"Lyricorde";;;;;;;"DESC144151";"NT";"";"Standard";"";"";"Lyrichord";"";"-1";
;;;"Violicembalo";;;;;;;"DESC906676";"NT";"";"Standard";"";"";"piano-harmonium;piano-violon;violi-cembalo";"";"-1";
;;"Clavecin à archet";;;;;;;;"DESC144143";"NT";"";"Standard";"";"";"Bowed harpsichord";"";"-1";
;;"Clavecin numérique";;;;;;;;"DESC148275";"NT";"";"Standard";"";"";"Digital harpsichord";"";"-1";
;;"Clavecins";;;;;;;;"DESC144231";"NT";"";"Standard";"";"";"Clavecins (famille des);Cordes frottées à clavier;Cordophone pincé à clavier;Harpsichords;Plucked cordophone with a keyboard;Plucked strined instrument with a keyboard";"";"-1";
;;;"Arpicordo";;;;;;;"DESC144236";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Clavecin";;;;;;;"DESC144246";"NT";"";"Standard";"";"";"Cembalo;Clavicembalo;Clavicembalum;Clavicimbal;Flügel;Harpsichord;Kielflügel;Klavecimbel";"";"-1";
;;;"Clavecin à archet";;;;;;;"DESC144143";"NT";"";"Standard";"";"";"Bowed harpsichord";"";"-1";
;;;"Clavecin à maillets";;;;;;;"DESC144051";"NT";"";"Standard";"";"";"Harpsichord-piano;Piano-clavecin";"";"-1";
;;;"Clavecin brisé";;;;;;;"DESC144248";"NT";"";"Standard";"";"";"Portable harpsichord";"";"-1";
;;;"Clavecin électrique";;;;;;;"DESC144250";"NT";"";"Standard";"";"";"Electri harpsichord";"";"-1";
;;;"Clavecin mécanique";;;;;;;"DESC146736";"NT";"";"Standard";"";"";"Geigenwerk;Mechanical harpsichord";"";"-1";
;;;"Clavecin oculaire";;;;;;;"DESC144251";"NT";"";"Standard";"";"";"Color organ;Colour organ";"";"-1";
;;;"Clavicytherium";;;;;;;"DESC144237";"NT";"";"Standard";"";"";"Clavecin vertical";"";"-1";
;;;"Claviorgue";;;;;;;"DESC139387";"NT";"";"Standard";"";"";"Clavecin organisé;Claviorgan;Claviorganum";"";"-1";
;;;"Epinette";;;;;;;"DESC144238";"NT";"";"Standard";"";"";"Spinet";"";"-1";
;;;"Virginale";;;;;;;"DESC144239";"NT";"";"Standard";"";"";"Virginal";"";"-1";
;;"Clavicordes";;;;;;;;"DESC942417";"NT";"";"Standard";"";"";"Clavichords;Clavicordes (famille des)";"";"-1";
;;;"Cembal d'amour";;;;;;;"DESC828736";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Clavicorde";;;;;;;"DESC144053";"NT";"";"Standard";"";"";"Clavichord;Manichordion;Manicordion";"";"-1";
;;"Harmoniums";;;;;;;;"DESC942140";"NT";"";"Standard";"";"";"Harmoniums (famille des)";"";"-1";
;;;"Aéréphone";;;;;;;"DESC1066961";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Harmonicorde";;;;;;;"DESC772651";"NT";"";"Standard";"";"";"Harmonichord";"";"-1";
;;;"Harmonium";;;;;;;"DESC146500";"NT";"";"Standard";"";"";"Orgue expressif";"";"-1";
;;;"Poikilorgue";;;;;;;"DESC146502";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Régale";;;;;;;"DESC146239";"NT";"";"Standard";"";"";"Regal;Regals";"";"-1";
;;"Héliophon";;;;;;;;"DESC147656";"NT";"";"Standard";"";"";"";"";"-1";
;;"Ondes Martenot";;;;;;;;"DESC147305";"NT";"";"Standard";"";"";"Martenot (ondes);Martenot waves";"";"-1";
;;;"Combiné radio pour ondes Martenot";;;;;;;"DESC147684";"NT";"";"Standard";"";"";"Ondes Martenot (combine radio)";"";"-1";
;;;"Diffuseur pour ondes Martenot";;;;;;;"DESC147685";"NT";"";"Standard";"";"";"Ondes Martenot (diffuseur combiné radio-électrophone)";"";"-1";
;;;"Palme pour ondes Martenot";;;;;;;"DESC147686";"NT";"";"Standard";"";"";"Ondes Martenot (palme)";"";"-1";
;;"Ondiolines";;;;;;;;"DESC1156188";"NT";"";"Standard";"";"";"Ondiolines (famille des)";"";"-1";
;;;"Ondioline";;;;;;;"DESC147306";"NT";"";"Standard";"";"";"";"";"-1";
;;"Orgue numérique";;;;;;;;"DESC148276";"NT";"";"Standard";"";"";"Digital organ";"";"-1";
;;"Orgues";;;;;;;;"DESC943406";"NT";"";"Standard";"";"";"Organs;Orgues (famille des)";"";"-1";
;;;"Orgue";;;;;;;"DESC146184";"NT";"";"Standard";"";"";"Organ (aerophone)";"DESC145793;DESC145816;DESC146241;DESC146240;DESC146219";"-1";
;;;"Orgue de chambre";;;;;;;"DESC146234";"NT";"";"Standard";"";"";"Chamber organ;Orgue de salon";"";"-1";
;;;"Orgue hydraulique";;;;;;;"DESC146235";"NT";"";"Standard";"";"";"Hydraule;Hydraulic organ;Water organ";"";"-1";
;;;"Orgue portatif";;;;;;;"DESC146236";"NT";"";"Standard";"";"";"Organetto;Portative organ";"";"-1";
;;;"Orgue positif";;;;;;;"DESC146237";"NT";"";"Standard";"";"";"Positive organ";"";"-1";
;;;"Pyrophone";;;;;;;"DESC146238";"NT";"";"Standard";"";"";"";"";"-1";
;;"Pianoharpe";;;;;;;;"DESC144054";"NT";"";"Standard";"";"";"Piano harpe;Piano-harp";"";"-1";
;;;"Clavi-harp";;;;;;;"DESC144103";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Euphonicon";;;;;;;"DESC144102";"NT";"";"Standard";"";"";"";"";"-1";
;;"Pianos";;;;;;;;"DESC144050";"NT";"";"Standard";"";"";"Fortepianos;Pianofortes;Pianos (famille des)";"";"-1";
;;;"Luthéal";;;;;;;"DESC137377";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Melopiano";;;;;;;"DESC144081";"NT";"";"Standard";"";"";"Piano chantant";"";"-1";
;;;"Neo-Bechstein-Flügel";;;;;;;"DESC822323";"NT";"";"Standard";"";"";"Neo-Bechstein Grand Piano";"";"-1";
;;;"Orphica";;;;;;;"DESC144082";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Pantalon";;;;;;;"DESC1076685";"NT";"";"Standard";"";"";"Pantaleon";"";"-1";
;;;"Pianino";;;;;;;"DESC144083";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Piano";;;;;;;"DESC144079";"NT";"";"Standard";"";"";"Pianoforte;Piano-forte";"";"-1";
;;;;"Piano pyramidal";;;;;;"DESC144096";"NT";"";"Standard";"";"";"Pyramid piano";"";"-1";
;;;;"Piano table";;;;;;"DESC144097";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Pianoharpe";;;;;;"DESC144054";"NT";"";"Standard";"";"";"Piano harpe;Piano-harp";"";"-1";
;;;;;"Clavi-harp";;;;;"DESC144103";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Euphonicon";;;;;"DESC144102";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Piano-répertoire avec niveau";;;;;;"DESC68226";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Piano à pédalier";;;;;;;"DESC144084";"NT";"";"Standard";"";"";"Piano pédalier;Piano-pédalier";"";"-1";
;;;"Piano à queue";;;;;;;"DESC144085";"NT";"";"Standard";"";"";"Grand fortepiano";"";"-1";
;;;"Piano à tangentes";;;;;;;"DESC144086";"NT";"";"Standard";"";"";"Tangent piano";"";"-1";
;;;"Piano automatique";;;;;;;"DESC144087";"NT";"";"Standard";"";"";"Automatic piano";"";"-1";
;;;"Piano carré";;;;;;;"DESC144088";"NT";"";"Standard";"";"";"Square pianoforte";"";"-1";
;;;"Piano console";;;;;;;"DESC144089";"NT";"";"Standard";"";"";"Console piano";"";"-1";
;;;"Piano droit";;;;;;;"DESC144090";"NT";"";"Standard";"";"";"Upright pianoforte";"";"-1";
;;;"Piano électrique";;;;;;;"DESC147307";"NT";"";"Standard";"";"";"Electric piano";"";"-1";
;;;"Piano éolien";;;;;;;"DESC144091";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Piano girafe";;;;;;;"DESC144092";"NT";"";"Standard";"";"";"Giraffe piano";"";"-1";
;;;"Piano mécanique";;;;;;;"DESC146740";"NT";"";"Standard";"";"";"Mechanical piano;Mechanical pianoforte";"";"-1";
;;;"Piano microtonal";;;;;;;"DESC144095";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Piano numérique";;;;;;;"DESC148277";"NT";"";"Standard";"";"";"Digital piano;Digital pianoforte";"";"-1";
;;;"Piano organisé";;;;;;;"DESC140421";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Piano préparé";;;;;;;"DESC137373";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Piano reproducteur";;;;;;;"DESC148022";"NT";"";"Standard";"";"";"Player piano";"";"-1";
;;;"Pianola";;;;;;;"DESC148023";"NT";"";"Standard";"";"";"";"";"-1";
;;"Solovox";;;;;;;;"DESC147663";"NT";"";"Standard";"";"";"";"";"-1";
;;"Synthétiseurs";;;;;;;;"DESC943404";"NT";"";"Standard";"";"";"Synthesizers;Synthétiseurs (famille des)";"";"-1";
;;;"Boîte à rythmes";;;;;;;"DESC147707";"NT";"";"Standard";"";"";"Beatbox";"";"-1";
;;;"Buchla";;;;;;;"DESC147708";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Clavier électronique";;;;;;;"DESC67261";"NT";"";"Standard";"";"";"Synthétiseur à clavier";"";"-1";
;;;"Instrument numérique";;;;;;;"DESC147710";"NT";"";"Standard";"";"";"Digital instrument;Digital instruments;Digital musical instrument (DMI);Instruments numériques";"";"-1";
;;;;"Clavecin numérique";;;;;;"DESC148275";"NT";"";"Standard";"";"";"Digital harpsichord";"";"-1";
;;;;"Orgue numérique";;;;;;"DESC148276";"NT";"";"Standard";"";"";"Digital organ";"";"-1";
;;;;"Piano numérique";;;;;;"DESC148277";"NT";"";"Standard";"";"";"Digital piano;Digital pianoforte";"";"-1";
;;;"Orgue électronique";;;;;;;"DESC146240";"NT";"";"Standard";"";"";"Electronic organ";"DESC146184";"-1";
;;;;"Lichtton-orgel";;;;;;"DESC822324";"NT";"";"Standard";"";"";"Light-sound organ;Welte Lichtton Orgel";"";"-1";
;;;"Synclavier";;;;;;;"DESC147711";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Synthétiseur";;;;;;;"DESC147665";"NT";"";"Standard";"";"";"Synthesizer";"";"-1";
;;"Vibraphones";;;;;;;;"DESC1156186";"NT";"";"Standard";"";"";"Vibraphones (famille des)";"";"-1";
;;;"Vibraphone";;;;;;;"DESC145523";"NT";"";"Standard";"";"";"vibes";"";"-1";
;"Instrument à cordes";;;;;;;;;"DESC144036";"NT";"";"Standard";"";"";"Chordophone;Cordes (instrument);Cordophone;Stringed instrument";"";"-1";
;;"Autres instruments à cordes";;;;;;;;"DESC942434";"NT";"";"Standard";"";"";"Other chordophones";"";"-1";
;;;"Fonic";;;;;;;"DESC144145";"NT";"";"Standard";"";"";"";"";"-1";
;;"Cithares";;;;;;;;"DESC144274";"NT";"";"Standard";"";"";"Cithares (famille des);Zithers";"";"-1";
;;;"Cithare en radeau";;;;;;;"DESC154923";"NT";"";"Standard";"";"";"Cithare radeau;Raft zither";"";"-1";
;;;;"Yomkwo";;;;;;"DESC139515";"NT";"";"Standard";"";"";"Riyom Ko";"";"-1";
;;;"Cithare sur bâton";;;;;;;"DESC917197";"NT";"";"Standard";"";"";"Stick zither";"";"-1";
;;;;"Ekatantri vina";;;;;;"DESC145890";"NT";"";"Standard";"";"";"Ekatantri;Ekatantri vina";"";"-1";
;;;;"Mvet";;;;;;"DESC146199";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Cithare sur caisse";;;;;;;"DESC154917";"NT";"";"Standard";"";"";"Box zither";"";"-1";
;;;;"Chang";;;;;;"DESC151274";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Gusli";;;;;;"DESC1033563";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Ikidi";;;;;;"DESC139437";"NT";"";"Standard";"";"";"Ngyela";"";"-1";
;;;;"Kacapi";;;;;;"DESC151269";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Kesle";;;;;;"DESC154838";"NT";"";"Standard";"";"";"Kisla";"";"-1";
;;;;"Langspil";;;;;;"DESC1140930";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Qanun";;;;;;"DESC154840";"NT";"";"Standard";"";"";"K'anon;Kanonaki;Kanun";"";"-1";
;;;;"Takhe";;;;;;"DESC154843";"NT";"";"Standard";"";"";"Krapeu";"";"-1";
;;;;"Tuntun";;;;;;"DESC154844";"NT";"";"Standard";"";"";"Salterio;Ttunttun";"";"-1";
;;;;"Yanggum";;;;;;"DESC151265";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Yangqin";;;;;;"DESC151688";"NT";"";"Standard";"";"";"Yang-ch'in";"";"-1";
;;;"Cithare sur cuvette";;;;;;;"DESC144291";"NT";"";"Standard";"";"";"Trough zither";"";"-1";
;;;;"Inanga";;;;;;"DESC153435";"NT";"";"Standard";"";"";"Enanga";"";"-1";
;;;"Cithare sur table";;;;;;;"DESC154744";"NT";"";"Standard";"";"";"Board zither";"";"-1";
;;;;"Autoharpe";;;;;;"DESC144289";"NT";"";"Standard";"";"";"Autoharp";"";"-1";
;;;;"Bangwe";;;;;;"DESC147960";"NT";"";"Standard";"";"";"Bango;Ndyele;Pango;Pangwe";"";"-1";
;;;;"Broanca";;;;;;"DESC143631";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Bûche des Flandres";;;;;;"DESC144290";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Bumbass";;;;;;"DESC144140";"NT";"";"Standard";"";"";"Basse de Flandre";"";"-1";
;;;;"Celestina";;;;;;"DESC144141";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Cithare";;;;;;"DESC943445";"NT";"";"Standard";"";"";"Zither";"";"-1";
;;;;"Cymbalum";;;;;;"DESC144125";"NT";"";"Standard";"";"";"Cimbalom;Cimbalum";"";"-1";
;;;;"Dan tranh";;;;;;"DESC151726";"NT";"";"Standard";"";"";"Dan thap luc";"";"-1";
;;;;"Dulcimer";;;;;;"DESC144109";"NT";"";"Standard";"";"";"Dolcema;Dolcimela;Doucemelle;Doulcemelle;Dowcemere;Dulce de melos;Dulce melos;Dulcimore;Dulcimur;Dulsa chordis;Dulsate;Dwsmel";"";"-1";
;;;;;"Pantalon";;;;;"DESC1076685";"NT";"";"Standard";"";"";"Pantaleon";"";"-1";
;;;;"Dunde";;;;;;"DESC154745";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Epinette des Vosges";;;;;;"DESC144294";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Harpe éolienne";;;;;;"DESC144040";"NT";"";"Standard";"";"";"Aeolian harp";"";"-1";
;;;;"Hommel";;;;;;"DESC144295";"NT";"";"Standard";"";"";"Hummel";"";"-1";
;;;;"Kayagum";;;;;;"DESC138910";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Komun'go";;;;;;"DESC151248";"NT";"";"Standard";"";"";"Komungo";"";"-1";
;;;;"Koto";;;;;;"DESC145940";"NT";"";"Standard";"";"";"Gakuso;Jushichigen;So";"";"-1";
;;;;"Mi-gyaung";;;;;;"DESC154746";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Psaltérion";;;;;;"DESC144296";"NT";"";"Standard";"";"";"Psaltery";"";"-1";
;;;;;"Armandine";;;;;"DESC145946";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Arpanetta";;;;;"DESC145916";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Bandura";;;;;"DESC145947";"NT";"";"Standard";"";"";"Bandoura";"";"-1";
;;;;;"Kantele";;;;;"DESC145948";"NT";"";"Standard";"";"";"";"";"-1";
